County,City,Details,Date,Type,URL
Los Angeles County,Calabasas,Calabasas banned plastic bags and charges for paper bags.,1-Jan-12,1,http://www.cityofcalabasas.com/bags.html
Orange County,Dana Point,"Dana Point's ban went into place April 1, 2013 but does not place a charge on paper bags.",1-Apr-13,1,http://www.ocregister.com/articles/bags-343570-plastic-point.html
Los Angeles County,Glendale,"Glendale's ban will go into place on July 1, 2013 for large stores and January 1, 2014 at smaller stores.",1-Jul-13,1,http://labusinessjournal.com/news/2013/jan/16/glendale-council-approves-plastic-bag-ban/
Orange County,Laguna Beach,"Laguna Beach has no 10-cent surcharge on paper bags, unlike other area bans.",1-Jan-13,1,http://latimesblogs.latimes.com/lanow/2013/01/laguna-beach-plastic-bag-ban-takes-effect.html
Los Angeles County,Long Beach,Long Beach banned plastic bags and charges for paper bags.,1-Jan-12,1,http://www.litterfreelb.org/home/index.shtml
Los Angeles County,Los Angeles,City Council approved a ban last year and is expected to vote on a final ban on June 17. ,,1,http://blogs.laweekly.com/informer/2013/06/plastic_bag_ban_los_angeles.php
Los Angeles County,Malibu,"Malibu became one of the first areas in California to adopt the ban. They have banned all bags at retail and food establishments since May 27, 2009.",27-May-09,1,http://www.malibucity.org/index.cfm/fuseaction/detailgroup/navid/474/cid/19565/
Los Angeles County,Manhattan Beach,"Manhattan Beach's ban was adopted July 15, 2008 and took effect Jan. 14, 2012.",14-Jan-12,1,http://www.ci.manhattan-beach.ca.us/Index.aspx?page=1589
Ventura County,Ojai,"Ojai's ban was approved Apr 11, 2012 and took effect July 1, 2012",1-Jul-12,1,http://www.vcstar.com/news/2012/apr/11/ojai-gives-final-approval-to-ban-on-plastic-bags/
Los Angeles County,Pasadena,Pasadena banned plastic bags and charges for paper bags.,1-Jul-12,1,http://www.ci.pasadena.ca.us/GreenCity/Plastic_Bag_Ban_Ordinance/
Los Angeles County,Santa Monica,Santa Monica banned plastic bags and charges for paper bags.,1-Sep-11,1,http://www.smgov.net/Departments/OSE/Business/Bag_Ban_Frequently_Asked_Questions.aspx
Los Angeles County,Unincorporated Los Angeles,"The county's ban was approved Nov. 11, 2010 by the Board of Supervisors and took effect in all stores by Jan. 2012 in unincorporated areas.",1-Jan-12,3,http://ladpw.org/epd/aboutthebag/ordinancebasics.cfm
Los Angeles County,West Hollywood,West Hollywood banned plastic bags and charges for paper bags.,20-Feb-13,1,http://www.weho.org/index.aspx?page=1123 
Santa Barbara County,Carpinteria,Carpinteria's ordinance bans plastic bags and also paper bags - the first double bag ban in California. ,1-Apr-13,1,http://www.carpinteria.ca.us/PDFs/pw_Single-Use%20Bag%20Ord.pdf
Los Angeles County,Culver City,Culver City approved a ban and it will go into effect at the end of 2013.,28-Dec-13,2,http://www.cawrecycles.org/files/CulverCity_Ordinance_52813.PDF
San Luis Obispo County,Unincorporated San Luis Obispo,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,San Luis Obispo,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Arroyo Grande,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Atascadero,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Grover Beach,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Morro Bay,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Paso Robles,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Luis Obispo County,Pismo Beach,"The entire county of San Luis Obispo, including unincorporated areas, adopted a ban with a 10-cent minimum charge on paper bags. ",1-Oct-12,1,http://www.sanluisobispo.com/2012/09/29/2245711/plastic-bag-ban-starts-monday.html
San Diego County,Solana Beach,Solana Beach is the first city in San Diego County with a ban and 10-cent charge.,8-Aug-12,1,http://www.cawrecycles.org/files/SB_BagOrd_revised.pdf
